,company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
658,/organization/4soils,/funding-round/b0a49655b0ed50e73250d391ef1a0ab0,seed,,26-08-2013,50000.0
661,/organization/4th-aspect,/funding-round/0288136438e847293e62ef3b369326cc,seed,,10-03-2011,277755.0
662,/organization/4th-aspect,/funding-round/0465733a4a7a6bd3914ce9e3b11243e8,seed,,15-08-2013,606100.0
663,/organization/4th-aspect,/funding-round/18ca0663d450efc3ef637f41a906ee31,seed,,31-03-2012,159412.0
664,/organization/4th-aspect,/funding-round/a5a687f16807b2c83265022b4ab9a520,seed,,15-07-2012,77811.0
666,/organization/4thetable,/funding-round/a5f46a1227e2c7d9af7f78a00f60e9d4,seed,,11-11-2015,500000.0
667,/organization/4tiitoo,/funding-round/82a8f46a9612c3b0a21498f8beb3c7b3,seed,,18-08-2014,
676,/organization/5-million-shoppers,/funding-round/d5428af17fe1231b62072041339493d1,seed,,07-08-2014,15000.0
679,/organization/5-oclock-records,/funding-round/b2916ae5f9d61f6dd35550cb3b78f675,seed,,29-03-2012,300000.0
680,/organization/5-screens-media,/funding-round/c36b472fc34fbac5e02fb6e37d37189d,seed,,07-08-2014,
686,/organization/50-partners,/funding-round/ee3d7024f639c2b974b04a9a7a614e0f,seed,,01-02-2012,
688,/organization/500friends,/funding-round/035ae8cffef9d4838a385dbe22ba6434,seed,,15-12-2009,1400000.0
689,/organization/500friends,/funding-round/2f256aa88fda0b86dd9cb03b03833ec8,seed,,23-03-2010,
694,/organization/500indies,/funding-round/f5da1e4f2f47c1b6cad2e1c5f9fc7cc2,seed,,01-09-2014,100000.0
702,/organization/500shops,/funding-round/57582b2508e21c3f8d62d5450e1b0246,seed,,01-12-2013,5000.0
708,/organization/51-qiangzuo,/funding-round/b5dba289f52e557c33b7cb842252c465,seed,,08-08-2010,
721,/organization/51intern-com-2,/funding-round/92744e0830d10f76c69bbb42e242ed60,seed,,01-11-2010,
736,/organization/52masterworks,/funding-round/74e0c5648c6711ffcd1c383f82e9f063,seed,,01-05-2015,11176.0
737,/organization/52masterworks,/funding-round/e04a55d8d2807b58f97711e0bcc31b9c,seed,,01-05-2015,206765.0
738,/organization/52masterworks,/funding-round/e6add004c0e02eae1acf2147e4991b2e,seed,,01-05-2015,16764.0
754,/organization/59sec-2,/funding-round/2f5b54275aecc2c4daa7423e34230589,seed,,01-08-2015,27429.0
755,/organization/5app,/funding-round/6ff332e6b15150ba2365e743b408199e,seed,,12-06-2014,5100000.0
758,/organization/5by,/funding-round/42f092939ff067dc886a483f32b1246d,seed,,28-02-2013,
759,/organization/5dpnp,/funding-round/23dbfb317c0396a98904f79864565e65,seed,,01-12-2014,12500.0
760,/organization/5ensesinfood,/funding-round/590de887fb57d70ac5c3f4dfb012e316,seed,,01-01-2013,1848664.0
769,/organization/5minutes,/funding-round/a2c97d03628c2bc8e40a202a5ba7c1bd,seed,,19-03-2012,15873.0
771,/organization/5o9,/funding-round/ae69f3da53268b43fad30dec9c40376d,seed,,14-05-2013,50000.0
772,/organization/5rocks,/funding-round/30c3dee8403c16bb3120fa5bf57111fe,seed,,03-09-2013,2310577.0
773,/organization/5rocks,/funding-round/db1ff600641444fac421cbcab163d8ea,seed,,01-09-2010,1677116.0
774,/organization/5skills,/funding-round/2d14c9f66d2fe542de499d50b3a5ae84,seed,,01-01-2013,30000.0
775,/organization/5th-avenue-media,/funding-round/c55340c464ef9a876467259a08f26af0,seed,,02-09-2012,250000.0
783,/organization/60mo,/funding-round/0c6ba328c6d427c3ac16666a41a1d4b0,seed,,29-06-2009,200000.0
785,/organization/60mo,/funding-round/e80d5586ac9e61a9f4a30ca7a5b3570f,seed,,29-06-2009,100000.0
787,/organization/640-labs,/funding-round/4199f89d224164a5de943b7134b616e0,seed,,07-07-2014,2700000.0
