,company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
3481,/organization/agilej-limited,/funding-round/5f8231d312933a95534ef03848dbc287,angel,,01-06-2006,100000.0
3495,/organization/agilesource,/funding-round/acf4d4522dbd7e46d9216d7deab218a1,angel,,01-04-2010,75000.0
3530,/organization/agily-networks,/funding-round/9a2eb9c40c62976f5d15db063b5a506a,angel,,24-04-2007,250000.0
3541,/organization/aginova,/funding-round/2c2a7ba8bfec9a98401c2f0274b3c52b,angel,,01-01-2010,500000.0
3549,/organization/agistix,/funding-round/5c0785e20c1550afb29a58d7d912dacc,angel,,25-08-2008,2000000.0
3559,/organization/aglogic,/funding-round/cb45ac0c22fd911950d97a603de8591a,angel,,10-10-2008,1000000.0
3577,/organization/agora-intelligence,/funding-round/f08eeab494ed606a9fc1b6a0e6b392de,angel,,01-07-2015,225000.0
3593,/organization/agrariya,/funding-round/ebcfb18e494f19b2ad87f9a4ae983218,angel,,19-01-2015,100000.0
3595,/organization/agreement24-avtal24,/funding-round/cfd3a9cd338508ce7b14b0d5c824b794,angel,,01-03-2010,1300000.0
3620,/organization/agrivi,/funding-round/e756ef8b47f4728b64bfe20562b325fd,angel,,15-01-2015,165000.0
3621,/organization/agrivi,/funding-round/f1e44dc7c1a17a0a4461e9ea55c8a32f,angel,,30-01-2014,135000.0
3646,/organization/aha-taxis,/funding-round/3f6c43e1bab9c102bf7b21fbdc1df3ed,angel,,18-11-2015,
3660,/organization/ahead,/funding-round/62c376603e4996cc8e4e76a495f41edf,angel,,01-01-2009,
3663,/organization/ahhaa-inc-,/funding-round/d1931ac890f842742b73f64c9023e1f6,angel,,05-09-2015,
3712,/organization/ailvxing-net,/funding-round/88d6db3de1c62d97f8da6761f8251a32,angel,,01-12-2013,163934.0
3729,/organization/aio-robotics,/funding-round/965535b2162aae5f5cec12cd428b12b2,angel,,01-07-2015,
3737,/organization/aiqfome,/funding-round/2540034052b8709c2c2dd8180d2f051f,angel,,01-01-2013,97560.0
3819,/organization/airgrub,/funding-round/a92bc5c2ffbc114f4a14d4d7b0826ab7,angel,,16-11-2015,1500000.0
3839,/organization/airporter-app-ltd,/funding-round/3b0f291639131f95fb1eb66e1ca3f55f,angel,,16-02-2015,300000.0
3885,/organization/airtasker,/funding-round/2d7c075fff30224dacbb0256f16af117,angel,,01-04-2012,1380000.0
3929,/organization/airwoot,/funding-round/a221ed195bc611d1fd41dc0bbb1fc651,angel,,26-08-2013,
3947,/organization/aiscreen-oy-ltd,/funding-round/df2525abe74f27848c13728a6b25f994,angel,,23-08-2014,315473.0
3950,/organization/aisle411,/funding-round/1e616fe2c3fa539960ab582f4910b2cd,angel,,05-09-2012,250000.0
3952,/organization/aisle411,/funding-round/db778dbb7af9fb4907e65e72843e64ee,angel,,22-11-2010,2100000.0
4000,/organization/akanoo,/funding-round/ebbe89b860529d29e850191bba77ff99,angel,,01-01-2013,500000.0
4017,/organization/akelex,/funding-round/8e0dc8ae2bfd3fd28dd54224ad60f210,angel,,01-07-2013,1500000.0
