,company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
8175,/organization/aspire-beverages,/funding-round/e4984fb9636c2c9949e9762c86590445,private_equity,,08-07-2013,1250000.0
8333,/organization/asymetrix,/funding-round/ce33a55d25a3605db30e8bca5d737eae,private_equity,,13-10-1999,10000000.0
8396,/organization/atheromed,/funding-round/3d0fc0618744e771decfda99e107841f,private_equity,,01-04-2012,13000000.0
8399,/organization/atheromed,/funding-round/cbc3be441aa0b56c0267d3cac4bdc919,private_equity,,03-04-2013,5958124.0
8431,/organization/ati-physical-therapy,/funding-round/df28e40bb4093be6f86329f18038951f,private_equity,,25-03-2010,225828977.0
8435,/organization/atieva,/funding-round/d81c70919af8ff24fcb6eb2980dde58c,private_equity,,21-05-2014,100000000.0
8521,/organization/aton-pharma,/funding-round/2c95214bea849c53da8ccb39e12feed2,private_equity,,10-01-2003,13700000.0
8554,/organization/atria-brindavan-power,/funding-round/c23fe601b25d3fc62a4f109a1f13e678,private_equity,,13-06-2013,8600000.0
8594,/organization/attensity,/funding-round/e34ea2b7ba76d5f2dec64fcff43f06da,private_equity,,14-05-2014,90000000.0
8605,/organization/atterocor,/funding-round/a91e8113a807d668a7190f94706bde9d,private_equity,,26-02-2013,8522872.0
8609,/organization/attila-resources,/funding-round/59931c3bacfb4b25cb9e435fb63d39ef,private_equity,,07-10-2013,7000000.0
8661,/organization/auction-com,/funding-round/83a96fffc5a9036b4621313c8512411e,private_equity,,05-03-2014,50000000.0
8662,/organization/auction-com,/funding-round/e9b44877d19afdababb579fb774e10fe,private_equity,,09-01-2013,91700000.0
8680,/organization/audax-health-solutions,/funding-round/b392dd17df5dc3c36f08a644ba46ac62,private_equity,,02-09-2011,5958446.0
8692,/organization/audibase,/funding-round/40cad0636ec136ff62c76f93bbf5d7b3,private_equity,,16-04-2013,3066.0
8718,/organization/audio-network,/funding-round/531a9d3a87a5ddd6ff662336c83959c5,private_equity,,27-07-2013,
8725,/organization/audioboo,/funding-round/b671779fd445f515f1e6dc063a581474,private_equity,,18-03-2014,5568600.0
8815,/organization/augustus-energy-partners,/funding-round/ee9a7629b4a382a2724e288ffa7274f4,private_equity,,09-01-2014,96700000.0
